Chinese,English
我,I
你,you
了,past tense particle
是,yes
在,exist
他,he
我们,us
不,No
吗,?
好,good
什么,What
有,have
就,At once
吧,ba
她,she
这,this
知道,Know
说,speak
都,All
去,go
很,very
啊,ah
要,want
见,meet
他们,them
和,and
那,That
想,think
人,people
会,able to
一个,one
来,Come
把,Bundle
对,right
没有,No
做,Do
不是,no
让,let
给,Give
美,beautiful
可以,Can
他,he
你们,you
呢,ne
但,but
问,ask
到,arrive
还,hai
现在,Now
果,fruit
这个,this
能,able
怎么,how
就是,that is
跟,and
如果,if
没,without
它,it
走,Walk
上,superior
得,have to
被,quilt
这里,here
这样,so
个,indivual
看,look
事,case
新,new
自己,Own
着,Wear
谁,who
过,Pass
不会,Won't
西,West
告诉,Tell
二,two
为什么,Why
不能,cannot
真的,real
月,moon
先生,gentlemen
只是,only
不要,don't want
这是,This is
已经,already
再,Again
哦,oh
需要,need
回,times
因为,because
谢谢,Thanks
像,picture
这么,so
可能,possible
但是,but
那个,that
所以,so
喜欢,like
又,again